a,b,c,n,l,m,quality,m is not a proper divisor of b
1,8,9,3,2,8,1.2263,True
1,48,49,7,2,16,1.0412,False
1,63,64,2,6,9,1.1127,False
1,80,81,3,4,8,1.2920,False
1,224,225,15,2,32,1.0129,False
1,242,243,3,5,121,1.3111,False
1,288,289,17,2,144,1.2252,False
1,624,625,5,4,16,1.0790,False
1,675,676,26,2,675,1.0922,True
1,728,729,3,6,8,1.0459,False
1,960,961,31,2,64,1.0048,False
1,2303,2304,48,2,49,1.0204,False
1,2400,2401,7,4,16,1.4557,False
1,3024,3025,55,2,432,1.0348,False
1,3968,3969,63,2,64,1.1554,False
1,4095,4096,2,12,9,1.0513,False
1,5831,5832,18,3,49,1.3196,False
1,6399,6400,80,2,81,1.1278,False
1,6560,6561,3,8,8,1.2353,False
1,9408,9409,97,2,1568,1.1007,False
1,9800,9801,99,2,1225,1.1866,False
1,10647,10648,22,3,1521,1.0658,False
1,15624,15625,5,6,36,1.0997,False
1,16128,16129,127,2,256,1.1289,False
1,21951,21952,28,3,81,1.0703,False
1,25920,25921,161,2,1296,1.1981,False
1,50175,50176,224,2,225,1.0064,False
1,50624,50625,15,4,32,1.0752,False
1,58563,58564,242,2,81,1.1347,False
1,59048,59049,3,10,8,1.3235,False
1,59535,59536,244,2,3969,1.1624,False
1,63000,63001,251,2,9000,1.0164,False
1,65024,65025,255,2,512,1.0004,False
1,82943,82944,288,2,289,1.1013,False
1,83520,83521,17,4,64,1.1803,False
1,105624,105625,325,2,648,1.0459,False
1,117648,117649,7,6,16,1.1180,False
1,123200,123201,351,2,400,1.1369,False
1,130320,130321,19,4,144,1.0202,False
1,201600,201601,449,2,14400,1.0663,False
1,235224,235225,485,2,29403,1.1923,False
1,237168,237169,487,2,3888,1.0236,False
1,261120,261121,511,2,1024,1.0002,False
1,262143,262144,2,18,9,1.1371,False
1,263168,263169,513,2,128,1.2134,False
1,330624,330625,575,2,1152,1.0420,False
1,332928,332929,577,2,36992,1.1578,False
1,389375,389376,624,2,625,1.0380,False
1,390624,390625,5,8,16,1.0993,False
1,421200,421201,649,2,32400,1.0409,False
1,455624,455625,675,2,676,1.1055,False
1,456975,456976,26,4,675,1.0439,False
1,471968,471969,687,2,10976,1.0102,False
1,519840,519841,721,2,103968,1.0182,False
1,529983,529984,728,2,729,1.0224,False
1,531440,531441,3,12,8,1.0804,False
1,613088,613089,783,2,1568,1.0193,False
1,921599,921600,960,2,961,1.0024,False
1,923520,923521,31,4,64,1.0557,False
1,998000,998001,999,2,2000,1.0445,False
1,1046528,1046529,1023,2,2048,1.0001,False
1,1048575,1048576,2,20,25,1.0708,False
